Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR,Season,HomeRank,AwayRank,HomePoints,AwayPoints,HomeW,AwayW,HomeGD,AwayGD,HomeGP,AwayGP,Sum_HomeY,Sum_AwayY,Sum_HomeR,Sum_AwayR,Stadium,Home_LastRank,Away_LastRank,Home_L5_GS,Home_L5_GC,Home_L5_Form_Pts,Away_L5_GS,Away_L5_GC,Away_L5_Form_Pts,Rank_Diff,LastRank_Diff,Form_Diff,GD_Diff,HomePPG,AwayPPG,PPG_Diff,HomeGDpg,AwayGDpg,GDpg_Diff,WeatherSeason
2024-03-16,18:00,Sp Braga,Gil Vicente,2.0,1.0,H,1.0,0.0,H,0.0,3.0,0.0,0.0,23-24,4,8,50,28,15,7,20.0,-3.0,25,25,61.0,57.0,1.0,1.0,14,3.0,13.0,1.8,1.2,32.0,0.8,0.6,18.0,-4,-10.0,14.0,23.0,2.0,1.12,0.8799999999999999,0.8,-0.12,0.92,0
2024-03-16,18:00,Farense,Rio Ave,1.0,1.0,D,1.0,0.0,H,2.0,1.0,0.0,0.0,23-24,12,15,26,24,7,4,-4.0,-9.0,25,25,58.0,75.0,4.0,3.0,22,19.0,12.0,1.0,1.8,1.0,1.0,1.0,15.0,-3,7.0,-14.0,5.0,1.04,0.96,0.08000000000000007,-0.16,-0.36,0.19999999999999998,0
2024-03-16,15:30,Famalicao,Estrela,0.0,0.0,D,0.0,0.0,D,1.0,4.0,0.0,0.0,23-24,10,14,27,25,6,6,-6.0,-13.0,24,25,77.0,53.0,8.0,5.0,21,8.0,19.0,1.2,1.4,11.0,1.4,1.4,21.0,-4,-11.0,-10.0,7.0,1.125,1.0,0.125,-0.25,-0.52,0.27,0
2024-03-15,20:15,Estoril,Portimonense,1.0,0.0,H,0.0,0.0,D,1.0,2.0,0.0,0.0,23-24,16,15,22,23,6,6,-8.0,-28.0,25,25,65.0,73.0,2.0,3.0,17,14.0,15.0,1.4,2.8,3.0,0.2,2.2,6.0,1,-1.0,-3.0,20.0,0.88,0.92,-0.040000000000000036,-0.32,-1.12,0.8,0
2024-03-11,20:15,Gil Vicente,Chaves,0.0,0.0,D,0.0,0.0,D,4.0,2.0,1.0,0.0,23-24,9,18,27,18,7,4,-3.0,-30.0,24,24,53.0,72.0,0.0,7.0,20,13.0,7.0,0.8,1.2,18.0,1.0,1.8,14.0,-9,6.0,4.0,27.0,1.125,0.75,0.375,-0.125,-1.25,1.125,0
2024-03-10,20:30,Benfica,Estoril,3.0,1.0,H,2.0,1.0,H,0.0,0.0,0.0,0.0,23-24,2,16,58,22,18,6,36.0,-6.0,24,24,45.0,65.0,2.0,2.0,6,1.0,14.0,3.0,1.6,26.0,1.4,2.2,7.0,-14,-13.0,19.0,42.0,2.4166666666666665,0.9166666666666666,1.5,1.5,-0.25,1.75,0
2024-03-10,18:00,Arouca,Sp Lisbon,0.0,3.0,A,0.0,1.0,A,2.0,0.0,0.0,0.0,23-24,7,1,34,59,10,19,10.0,42.0,24,23,59.0,57.0,6.0,2.0,23,5.0,4.0,2.6,1.4,36.0,4.2,1.0,37.0,6,1.0,-1.0,-32.0,1.4166666666666667,2.5652173913043477,-1.148550724637681,0.4166666666666667,1.826086956521739,-1.4094202898550723,0
2024-03-09,20:30,Guimaraes,Famalicao,1.0,0.0,H,1.0,0.0,H,1.0,3.0,0.0,0.0,23-24,5,10,44,27,13,6,12.0,-5.0,24,23,60.0,74.0,3.0,8.0,8,6.0,8.0,1.4,1.2,23.0,1.2,1.4,16.0,-5,-2.0,7.0,17.0,1.8333333333333333,1.173913043478261,0.6594202898550723,0.5,-0.21739130434782608,0.717391304347826,0
2024-03-09,18:00,Rio Ave,Sp Braga,0.0,0.0,D,0.0,0.0,D,1.0,4.0,0.0,0.0,23-24,14,4,23,49,4,15,-9.0,20.0,24,24,74.0,57.0,3.0,1.0,4,12.0,3.0,1.0,1.0,16.0,2.0,1.2,39.0,10,9.0,-23.0,-29.0,0.9583333333333334,2.0416666666666665,-1.083333333333333,-0.375,0.8333333333333334,-1.2083333333333335,0
2024-03-09,18:00,Boavista,Moreirense,1.0,0.0,H,0.0,0.0,D,4.0,2.0,0.0,0.0,23-24,13,6,25,39,6,11,-14.0,1.0,24,24,66.0,58.0,5.0,3.0,11,9.0,19.0,0.8,1.6,12.0,0.4,0.6,23.0,7,-10.0,-11.0,-15.0,1.0416666666666667,1.625,-0.5833333333333333,-0.5833333333333334,0.041666666666666664,-0.625,0
2024-03-09,15:30,Vizela,Farense,2.0,1.0,H,0.0,1.0,A,1.0,3.0,0.0,0.0,23-24,17,11,18,26,3,7,-24.0,-3.0,24,24,60.0,55.0,3.0,4.0,24,11.0,19.0,1.0,2.0,15.0,1.0,1.6,3.0,6,-8.0,12.0,-21.0,0.75,1.0833333333333333,-0.33333333333333326,-1.0,-0.125,-0.875,0
2024-03-08,20:45,Estrela,Casa Pia,3.0,1.0,H,0.0,0.0,D,0.0,2.0,0.0,0.0,23-24,16,10,22,27,5,7,-15.0,-13.0,24,24,53.0,48.0,5.0,2.0,26,19.0,10.0,0.8,1.4,10.0,0.6,0.2,27.0,6,9.0,-17.0,-2.0,0.9166666666666666,1.125,-0.20833333333333337,-0.625,-0.5416666666666666,-0.08333333333333337,0
2024-03-08,18:45,Portimonense,Porto,0.0,3.0,A,0.0,1.0,A,2.0,0.0,0.0,0.0,23-24,14,3,23,52,6,16,-25.0,26.0,24,24,71.0,73.0,3.0,5.0,3,15.0,2.0,0.4,2.0,8.0,2.0,0.8,29.0,11,13.0,-21.0,-51.0,0.9583333333333334,2.1666666666666665,-1.208333333333333,-1.0416666666666667,1.0833333333333333,-2.125,0
2024-03-04,20:15,Famalicao,Boavista,1.0,1.0,D,1.0,0.0,H,2.0,2.0,0.0,0.0,23-24,11,12,26,24,6,6,-5.0,-14.0,22,23,72.0,64.0,8.0,5.0,21,8.0,9.0,1.2,1.6,15.0,0.8,2.2,11.0,-1,-1.0,4.0,9.0,1.1818181818181819,1.0434782608695652,0.1383399209486167,-0.22727272727272727,-0.6086956521739131,0.3814229249011858,0
2024-03-03,20:30,Porto,Benfica,5.0,0.0,H,2.0,0.0,H,1.0,3.0,0.0,1.0,23-24,3,2,49,58,15,18,21.0,41.0,23,23,72.0,42.0,5.0,1.0,7,2.0,1.0,1.6,1.0,22.0,3.8,0.8,39.0,1,1.0,-17.0,-20.0,2.130434782608696,2.5217391304347827,-0.3913043478260869,0.9130434782608695,1.7826086956521738,-0.8695652173913043,0
2024-03-03,18:00,Sp Lisbon,Farense,3.0,2.0,H,2.0,1.0,H,1.0,3.0,0.0,0.0,23-24,2,10,56,26,18,7,41.0,-2.0,22,23,56.0,52.0,2.0,4.0,9,4.0,19.0,4.6,1.0,35.0,0.8,1.6,5.0,-8,-15.0,30.0,43.0,2.5454545454545454,1.1304347826086956,1.4150197628458498,1.8636363636363635,-0.08695652173913043,1.950592885375494,0
2024-03-03,15:30,Portimonense,Vizela,0.0,0.0,D,0.0,0.0,D,3.0,1.0,1.0,0.0,23-24,16,18,22,17,6,3,-25.0,-24.0,23,23,68.0,59.0,2.0,3.0,3,15.0,11.0,1.2,2.2,7.0,1.0,3.0,14.0,-2,4.0,-7.0,-1.0,0.9565217391304348,0.7391304347826086,0.21739130434782616,-1.0869565217391304,-1.0434782608695652,-0.04347826086956519,0
2024-03-03,15:30,Casa Pia,Gil Vicente,0.0,0.0,D,0.0,0.0,D,1.0,2.0,0.0,0.0,23-24,11,9,26,26,7,7,-13.0,-3.0,23,23,47.0,51.0,2.0,0.0,25,10.0,13.0,0.6,1.8,29.0,1.0,1.2,20.0,2,-3.0,9.0,-10.0,1.1304347826086956,1.1304347826086956,0.0,-0.5652173913043478,-0.13043478260869565,-0.4347826086956521,0
2024-03-02,20:30,Sp Braga,Estrela,3.0,0.0,H,0.0,0.0,D,2.0,1.0,0.0,0.0,23-24,4,15,46,22,14,5,17.0,-12.0,23,23,55.0,52.0,1.0,5.0,14,3.0,19.0,1.6,1.4,34.0,1.0,1.6,14.0,-11,-16.0,20.0,29.0,2.0,0.9565217391304348,1.0434782608695652,0.7391304347826086,-0.5217391304347826,1.2608695652173911,0
2024-03-02,18:00,Estoril,Guimaraes,1.0,3.0,A,0.0,3.0,A,1.0,5.0,0.0,0.0,23-24,14,5,22,41,6,12,-4.0,10.0,23,23,64.0,55.0,2.0,3.0,17,14.0,6.0,1.4,1.8,12.0,0.8,1.2,13.0,9,8.0,-1.0,-14.0,0.9565217391304348,1.7826086956521738,-0.826086956521739,-0.17391304347826086,0.43478260869565216,-0.6086956521739131,0
2024-03-02,15:30,Moreirense,Rio Ave,0.0,0.0,D,0.0,0.0,D,1.0,1.0,0.0,0.0,23-24,6,14,38,22,11,4,1.0,-9.0,23,23,57.0,73.0,3.0,3.0,12,19.0,12.0,0.6,0.6,27.0,1.2,1.2,17.0,-8,7.0,10.0,10.0,1.6521739130434783,0.9565217391304348,0.6956521739130435,0.043478260869565216,-0.391304347826087,0.4347826086956522,0
2024-03-01,20:15,Chaves,Arouca,1.0,5.0,A,1.0,2.0,A,1.0,2.0,0.0,0.0,23-24,17,7,18,31,4,9,-26.0,6.0,23,23,71.0,57.0,7.0,6.0,16,7.0,5.0,1.0,1.0,20.0,2.6,1.2,33.0,10,2.0,-13.0,-32.0,0.782608695652174,1.3478260869565217,-0.5652173913043478,-1.1304347826086956,0.2608695652173913,-1.391304347826087,0
2024-02-26,20:15,Boavista,Sp Braga,0.0,4.0,A,0.0,2.0,A,1.0,3.0,0.0,0.0,23-24,12,4,24,43,6,13,-10.0,13.0,22,22,63.0,52.0,5.0,1.0,11,9.0,3.0,0.8,1.8,15.0,1.2,1.6,29.0,8,6.0,-14.0,-23.0,1.0909090909090908,1.9545454545454546,-0.8636363636363638,-0.45454545454545453,0.5909090909090909,-1.0454545454545454,0
2024-02-25,20:30,Rio Ave,Sp Lisbon,3.0,3.0,D,2.0,2.0,D,6.0,3.0,1.0,0.0,23-24,16,2,21,55,4,18,-9.0,41.0,22,21,67.0,53.0,2.0,2.0,4,12.0,4.0,0.6,0.6,18.0,4.6,0.4,45.0,14,8.0,-27.0,-50.0,0.9545454545454546,2.619047619047619,-1.6645021645021645,-0.4090909090909091,1.9523809523809523,-2.3614718614718613,0
2024-02-25,18:00,Gil Vicente,Porto,1.0,1.0,D,0.0,0.0,D,3.0,3.0,0.0,0.0,23-24,11,3,25,48,7,15,-3.0,21.0,22,22,48.0,69.0,0.0,5.0,20,13.0,2.0,1.2,1.0,24.0,2.4,0.8,27.0,8,11.0,-3.0,-24.0,1.1363636363636365,2.1818181818181817,-1.0454545454545452,-0.13636363636363635,0.9545454545454546,-1.0909090909090908,0
2024-02-25,18:00,Benfica,Portimonense,4.0,0.0,H,0.0,0.0,D,0.0,1.0,0.0,0.0,23-24,2,15,55,22,17,6,37.0,-21.0,22,22,42.0,67.0,1.0,2.0,6,1.0,15.0,3.4,0.8,37.0,1.2,1.8,11.0,-13,-14.0,26.0,58.0,2.5,1.0,1.5,1.6818181818181819,-0.9545454545454546,2.6363636363636367,0
2024-02-25,15:30,Vizela,Estoril,3.0,3.0,D,2.0,0.0,H,2.0,3.0,0.0,0.0,23-24,18,15,16,21,3,6,-24.0,-4.0,22,22,57.0,61.0,3.0,2.0,24,11.0,14.0,0.8,3.4,12.0,1.0,1.6,11.0,3,-3.0,1.0,-20.0,0.7272727272727273,0.9545454545454546,-0.2272727272727273,-1.0909090909090908,-0.18181818181818182,-0.909090909090909,0
2024-02-24,20:30,Guimaraes,Casa Pia,0.0,2.0,A,0.0,2.0,A,1.0,3.0,0.0,0.0,23-24,5,12,41,23,12,6,12.0,-15.0,22,22,54.0,44.0,3.0,2.0,8,6.0,10.0,1.4,0.8,21.0,0.4,2.4,18.0,-7,-4.0,3.0,27.0,1.8636363636363635,1.0454545454545454,0.8181818181818181,0.5454545454545454,-0.6818181818181818,1.227272727272727,0
2024-02-24,18:00,Estrela,Chaves,1.0,1.0,D,1.0,1.0,D,2.0,2.0,0.0,0.0,23-24,16,17,21,17,5,4,-12.0,-26.0,22,22,50.0,69.0,5.0,7.0,26,19.0,7.0,0.8,2.0,12.0,0.8,0.8,21.0,-1,12.0,-9.0,14.0,0.9545454545454546,0.7727272727272727,0.18181818181818188,-0.5454545454545454,-1.1818181818181819,0.6363636363636365,0
2024-02-24,15:30,Farense,Moreirense,0.0,1.0,A,0.0,1.0,A,1.0,0.0,1.0,0.0,23-24,8,6,26,35,7,10,-1.0,0.0,22,22,51.0,57.0,3.0,3.0,22,19.0,19.0,1.4,1.6,10.0,0.4,1.6,18.0,2,0.0,-8.0,-1.0,1.1818181818181819,1.5909090909090908,-0.40909090909090895,-0.045454545454545456,0.0,-0.045454545454545456,0
2024-02-23,20:15,Arouca,Famalicao,3.0,2.0,H,2.0,1.0,H,2.0,5.0,0.0,1.0,23-24,7,9,28,26,8,6,5.0,-4.0,22,21,55.0,67.0,6.0,7.0,23,5.0,8.0,2.4,1.0,30.0,1.2,1.0,22.0,-2,-3.0,8.0,9.0,1.2727272727272727,1.2380952380952381,0.03463203463203457,0.22727272727272727,-0.19047619047619047,0.41774891774891776,0
2024-02-19,20:15,Moreirense,Sp Lisbon,0.0,2.0,A,0.0,2.0,A,0.0,1.0,0.0,0.0,23-24,6,2,35,52,10,17,2.0,39.0,21,20,57.0,52.0,3.0,2.0,12,19.0,4.0,1.0,1.4,27.0,5.2,0.6,45.0,4,15.0,-18.0,-37.0,1.6666666666666667,2.6,-0.9333333333333333,0.09523809523809523,1.95,-1.8547619047619048,0
2024-02-18,20:30,Sp Braga,Farense,2.0,1.0,H,0.0,0.0,D,5.0,3.0,0.0,0.0,23-24,5,8,40,26,12,7,12.0,0.0,21,21,47.0,48.0,1.0,3.0,14,3.0,19.0,0.8,1.8,21.0,1.2,1.4,15.0,-3,-16.0,6.0,12.0,1.9047619047619047,1.2380952380952381,0.6666666666666665,0.5714285714285714,0.0,0.5714285714285714,0
2024-02-18,18:00,Estoril,Gil Vicente,1.0,3.0,A,0.0,0.0,D,2.0,3.0,1.0,0.0,23-24,14,12,21,22,6,6,-2.0,-5.0,21,21,59.0,45.0,1.0,0.0,17,14.0,13.0,1.0,1.6,15.0,0.8,1.0,16.0,2,1.0,-1.0,3.0,1.0,1.0476190476190477,-0.04761904761904767,-0.09523809523809523,-0.23809523809523808,0.14285714285714285,0
2024-02-18,18:00,Benfica,Vizela,6.0,1.0,H,5.0,0.0,H,0.0,4.0,0.0,0.0,23-24,2,18,52,16,16,3,32.0,-19.0,21,21,42.0,53.0,1.0,3.0,6,1.0,11.0,3.0,0.8,35.0,0.8,3.0,15.0,-16,-10.0,20.0,51.0,2.4761904761904763,0.7619047619047619,1.7142857142857144,1.5238095238095237,-0.9047619047619048,2.4285714285714284,0
2024-02-18,15:30,Casa Pia,Arouca,1.0,0.0,H,0.0,0.0,D,0.0,2.0,0.0,0.0,23-24,16,7,20,28,5,8,-16.0,6.0,21,21,44.0,53.0,2.0,6.0,25,10.0,5.0,0.2,2.8,4.0,2.6,1.2,42.0,9,5.0,-38.0,-22.0,0.9523809523809523,1.3333333333333333,-0.38095238095238093,-0.7619047619047619,0.2857142857142857,-1.0476190476190474,0
2024-02-17,20:30,Porto,Estrela,2.0,0.0,H,1.0,0.0,H,0.0,2.0,0.0,0.0,23-24,3,15,45,21,14,5,19.0,-10.0,21,21,69.0,48.0,5.0,5.0,7,2.0,19.0,2.4,0.8,22.0,1.0,1.8,16.0,-12,-17.0,6.0,29.0,2.142857142857143,1.0,1.1428571428571428,0.9047619047619048,-0.47619047619047616,1.380952380952381,0
2024-02-17,18:00,Portimonense,Guimaraes,1.0,1.0,D,0.0,1.0,A,3.0,5.0,0.0,0.0,23-24,15,5,21,40,6,12,-21.0,12.0,21,21,64.0,49.0,2.0,3.0,3,15.0,6.0,1.2,1.6,12.0,1.6,0.8,26.0,10,9.0,-14.0,-33.0,1.0,1.9047619047619047,-0.9047619047619047,-1.0,0.5714285714285714,-1.5714285714285714,0
2024-02-17,15:30,Chaves,Boavista,2.0,1.0,H,1.0,1.0,D,6.0,1.0,1.0,0.0,23-24,18,10,14,24,3,6,-27.0,-9.0,21,21,63.0,62.0,6.0,5.0,16,7.0,9.0,0.4,1.2,9.0,1.4,1.6,22.0,8,-2.0,-13.0,-18.0,0.6666666666666666,1.1428571428571428,-0.47619047619047616,-1.2857142857142858,-0.42857142857142855,-0.8571428571428572,0
2024-02-16,20:15,Famalicao,Rio Ave,2.0,1.0,H,1.0,1.0,D,4.0,6.0,0.0,0.0,23-24,10,13,23,21,5,4,-5.0,-8.0,20,21,63.0,61.0,7.0,2.0,21,8.0,12.0,1.2,1.2,12.0,0.6,1.0,24.0,-3,-4.0,-12.0,3.0,1.15,1.0,0.1499999999999999,-0.25,-0.38095238095238093,0.13095238095238093,0
2024-02-13,15:30,Gil Vicente,Vizela,0.0,1.0,A,0.0,1.0,A,3.0,5.0,0.0,1.0,23-24,11,18,22,13,6,2,-4.0,-20.0,20,20,42.0,48.0,0.0,2.0,20,13.0,11.0,0.8,1.0,23.0,0.8,3.2,1.0,-7,2.0,22.0,16.0,1.1,0.65,0.45000000000000007,-0.2,-1.0,0.8,0
2024-02-12,20:15,Arouca,Porto,3.0,2.0,H,2.0,1.0,H,3.0,4.0,0.0,1.0,23-24,8,3,25,45,7,14,5.0,20.0,20,20,50.0,65.0,6.0,4.0,23,5.0,2.0,2.0,1.4,36.0,2.2,0.4,33.0,5,3.0,3.0,-15.0,1.25,2.25,-1.0,0.25,1.0,-0.75,0
2024-02-11,20:30,Guimaraes,Benfica,2.0,2.0,D,1.0,1.0,D,4.0,3.0,1.0,0.0,23-24,5,2,39,51,12,16,12.0,32.0,20,20,45.0,39.0,2.0,1.0,8,6.0,1.0,1.4,0.6,31.0,3.2,0.4,45.0,3,5.0,-14.0,-20.0,1.95,2.55,-0.5999999999999999,0.6,1.6,-1.0,0
2024-02-11,18:00,Sp Lisbon,Sp Braga,5.0,0.0,H,2.0,0.0,H,0.0,0.0,0.0,0.0,23-24,2,4,49,40,16,12,34.0,17.0,19,20,52.0,47.0,2.0,1.0,9,4.0,3.0,4.6,0.8,45.0,1.0,1.0,29.0,-2,1.0,16.0,17.0,2.5789473684210527,2.0,0.5789473684210527,1.7894736842105263,0.85,0.9394736842105263,0
2024-02-11,15:30,Rio Ave,Casa Pia,1.0,0.0,H,0.0,0.0,D,1.0,3.0,0.0,0.0,23-24,16,15,18,20,3,5,-9.0,-15.0,20,20,60.0,41.0,2.0,2.0,4,12.0,10.0,0.8,1.0,15.0,1.0,2.8,8.0,1,2.0,7.0,6.0,0.9,1.0,-0.09999999999999998,-0.45,-0.75,0.3,0
2024-02-10,20:30,Boavista,Estoril,2.0,1.0,H,2.0,0.0,H,5.0,5.0,0.0,0.0,23-24,12,11,21,21,5,6,-10.0,-1.0,20,20,57.0,54.0,5.0,1.0,11,9.0,14.0,1.2,1.6,12.0,1.0,2.2,19.0,1,-5.0,-7.0,-9.0,1.05,1.05,0.0,-0.5,-0.05,-0.45,0
2024-02-10,18:00,Moreirense,Chaves,1.0,0.0,H,0.0,0.0,D,3.0,2.0,0.0,0.0,23-24,6,17,32,14,9,3,1.0,-26.0,20,20,54.0,61.0,3.0,6.0,12,19.0,7.0,1.0,2.2,18.0,0.8,1.4,13.0,-11,12.0,5.0,27.0,1.6,0.7,0.9000000000000001,0.05,-1.3,1.35,0
2024-02-10,15:30,Farense,Famalicao,1.0,1.0,D,0.0,1.0,A,0.0,6.0,0.0,0.0,23-24,8,10,25,22,7,5,0.0,-5.0,20,19,48.0,57.0,3.0,7.0,22,19.0,8.0,1.2,1.2,17.0,1.0,1.6,11.0,-2,11.0,6.0,5.0,1.25,1.1578947368421053,0.09210526315789469,0.0,-0.2631578947368421,0.2631578947368421,0
2024-02-09,20:15,Estrela,Portimonense,3.0,0.0,H,3.0,0.0,H,4.0,3.0,0.0,0.0,23-24,16,13,18,21,4,6,-13.0,-18.0,20,20,44.0,61.0,5.0,2.0,26,19.0,15.0,0.6,2.0,3.0,1.2,1.4,18.0,3,4.0,-15.0,5.0,0.9,1.05,-0.15000000000000002,-0.65,-0.9,0.25,0
2024-02-05,20:15,Casa Pia,Boavista,0.0,0.0,D,0.0,0.0,D,3.0,1.0,0.0,0.0,23-24,14,13,19,20,5,5,-15.0,-10.0,19,19,38.0,56.0,2.0,5.0,25,10.0,9.0,1.2,3.4,6.0,1.2,1.8,11.0,1,1.0,-5.0,-5.0,1.0,1.0526315789473684,-0.05263157894736836,-0.7894736842105263,-0.5263157894736842,-0.26315789473684215,0
2024-02-04,20:30,Sp Braga,Moreirense,1.0,0.0,H,1.0,0.0,H,1.0,2.0,0.0,0.0,23-24,5,6,37,32,11,9,16.0,2.0,19,19,46.0,52.0,1.0,3.0,14,3.0,19.0,1.4,1.2,22.0,1.0,2.0,25.0,-1,-16.0,-3.0,14.0,1.9473684210526316,1.6842105263157894,0.26315789473684226,0.8421052631578947,0.10526315789473684,0.7368421052631579,0
2024-02-04,18:00,Estoril,Estrela,1.0,0.0,H,0.0,0.0,D,3.0,2.0,0.0,0.0,23-24,14,16,18,18,5,4,-2.0,-12.0,19,19,51.0,42.0,1.0,5.0,17,14.0,19.0,1.6,2.2,8.0,0.8,2.6,5.0,-2,-5.0,3.0,10.0,0.9473684210526315,0.9473684210526315,0.0,-0.10526315789473684,-0.631578947368421,0.5263157894736842,0
2024-02-04,18:00,Benfica,Gil Vicente,3.0,0.0,H,2.0,0.0,H,0.0,1.0,0.0,0.0,23-24,2,9,48,22,15,6,29.0,-1.0,19,19,39.0,41.0,1.0,0.0,6,1.0,13.0,3.2,0.4,45.0,1.0,0.4,33.0,-7,-12.0,12.0,30.0,2.526315789473684,1.1578947368421053,1.3684210526315788,1.5263157894736843,-0.05263157894736842,1.5789473684210527,0
2024-02-04,15:30,Vizela,Guimaraes,0.0,1.0,A,0.0,0.0,D,4.0,2.0,0.0,0.0,23-24,18,5,13,36,2,11,-19.0,11.0,19,19,44.0,43.0,2.0,2.0,24,11.0,6.0,0.8,3.0,3.0,1.4,0.6,26.0,13,5.0,-23.0,-30.0,0.6842105263157895,1.894736842105263,-1.2105263157894735,-1.0,0.5789473684210527,-1.5789473684210527,0
2024-02-04,15:30,Chaves,Farense,1.0,1.0,D,0.0,1.0,A,2.0,4.0,1.0,0.0,23-24,18,8,13,24,3,7,-26.0,0.0,19,19,59.0,44.0,5.0,3.0,16,7.0,19.0,0.6,1.4,11.0,1.0,1.8,18.0,10,-12.0,-7.0,-26.0,0.6842105263157895,1.263157894736842,-0.5789473684210525,-1.368421052631579,0.0,-1.368421052631579,0
2024-02-03,20:30,Porto,Rio Ave,0.0,0.0,D,0.0,0.0,D,4.0,5.0,0.0,1.0,23-24,3,16,44,17,14,3,20.0,-9.0,19,19,61.0,55.0,4.0,1.0,7,2.0,12.0,2.4,0.4,41.0,0.8,1.2,15.0,-13,-10.0,26.0,29.0,2.3157894736842106,0.8947368421052632,1.4210526315789473,1.0526315789473684,-0.47368421052631576,1.526315789473684,0
2024-02-03,15:30,Portimonense,Arouca,1.0,2.0,A,0.0,0.0,D,4.0,1.0,0.0,0.0,23-24,11,8,21,22,6,6,-17.0,4.0,19,19,57.0,49.0,2.0,6.0,3,15.0,5.0,1.2,1.4,24.0,2.4,1.4,30.0,3,10.0,-6.0,-21.0,1.105263157894737,1.1578947368421053,-0.05263157894736836,-0.8947368421052632,0.21052631578947367,-1.1052631578947367,0
2024-01-31,20:45,Sp Braga,Chaves,1.0,1.0,D,0.0,0.0,D,1.0,5.0,0.0,1.0,23-24,4,18,36,12,11,3,16.0,-26.0,18,18,45.0,54.0,1.0,4.0,14,3.0,7.0,1.2,1.2,24.0,0.6,1.8,8.0,-14,-4.0,16.0,42.0,2.0,0.6666666666666666,1.3333333333333335,0.8888888888888888,-1.4444444444444444,2.333333333333333,0
2024-01-31,18:45,Rio Ave,Estoril,1.0,1.0,D,0.0,0.0,D,4.0,3.0,0.0,0.0,23-24,16,15,16,17,3,5,-9.0,-2.0,18,18,51.0,48.0,1.0,1.0,4,12.0,14.0,0.8,1.2,15.0,1.6,2.2,7.0,1,-2.0,8.0,-7.0,0.8888888888888888,0.9444444444444444,-0.05555555555555558,-0.5,-0.1111111111111111,-0.3888888888888889,0
2024-01-29,20:45,Sp Lisbon,Casa Pia,8.0,0.0,H,5.0,0.0,H,1.0,1.0,0.0,0.0,23-24,2,13,46,19,15,5,26.0,-7.0,18,18,51.0,37.0,2.0,2.0,9,4.0,10.0,3.4,0.8,45.0,1.8,2.0,12.0,-11,-6.0,33.0,33.0,2.5555555555555554,1.0555555555555556,1.4999999999999998,1.4444444444444444,-0.3888888888888889,1.8333333333333333,0
2024-01-29,18:45,Estrela,Benfica,1.0,4.0,A,1.0,2.0,A,2.0,1.0,1.0,0.0,23-24,14,2,18,45,4,14,-9.0,26.0,18,18,40.0,38.0,4.0,1.0,26,19.0,1.0,0.6,1.8,8.0,2.6,0.2,45.0,12,18.0,-37.0,-35.0,1.0,2.5,-1.5,-0.5,1.4444444444444444,-1.9444444444444444,0
2024-01-28,20:30,Gil Vicente,Guimaraes,1.0,0.0,H,0.0,0.0,D,1.0,2.0,0.0,0.0,23-24,12,5,19,36,5,11,-2.0,12.0,18,18,40.0,41.0,0.0,2.0,20,13.0,6.0,0.8,1.0,25.0,1.6,0.6,37.0,7,7.0,-12.0,-14.0,1.0555555555555556,2.0,-0.9444444444444444,-0.1111111111111111,0.6666666666666666,-0.7777777777777777,0
2024-01-28,20:30,Arouca,Vizela,5.0,0.0,H,2.0,0.0,H,1.0,2.0,0.0,0.0,23-24,11,17,19,13,5,2,-1.0,-14.0,18,18,48.0,42.0,6.0,2.0,23,5.0,11.0,2.0,1.4,24.0,1.0,2.2,6.0,-6,-6.0,18.0,13.0,1.0555555555555556,0.7222222222222222,0.33333333333333337,-0.05555555555555555,-0.7777777777777778,0.7222222222222222,0
2024-01-28,18:00,Farense,Porto,1.0,3.0,A,0.0,2.0,A,1.0,0.0,0.0,0.0,23-24,7,3,24,41,7,13,2.0,18.0,18,18,43.0,61.0,3.0,4.0,22,19.0,2.0,0.8,1.2,25.0,1.8,0.6,36.0,4,17.0,-11.0,-16.0,1.3333333333333333,2.2777777777777777,-0.9444444444444444,0.1111111111111111,1.0,-0.8888888888888888,0
2024-01-28,15:30,Moreirense,Famalicao,1.0,0.0,H,0.0,0.0,D,3.0,2.0,0.0,0.0,23-24,6,8,29,22,8,5,1.0,-4.0,18,18,49.0,55.0,3.0,7.0,12,19.0,8.0,1.8,2.4,17.0,1.2,1.6,16.0,-2,11.0,1.0,5.0,1.6111111111111112,1.2222222222222223,0.38888888888888884,0.05555555555555555,-0.2222222222222222,0.2777777777777778,0
2024-01-28,15:30,Boavista,Portimonense,1.0,4.0,A,0.0,3.0,A,2.0,2.0,0.0,0.0,23-24,9,14,20,18,5,5,-7.0,-20.0,18,18,54.0,55.0,5.0,2.0,11,9.0,15.0,1.2,1.2,16.0,0.8,2.2,12.0,-5,-6.0,4.0,13.0,1.1111111111111112,1.0,0.11111111111111116,-0.3888888888888889,-1.1111111111111112,0.7222222222222223,0
2024-01-21,20:30,Guimaraes,Estrela,3.0,0.0,H,1.0,0.0,H,1.0,1.0,0.0,1.0,23-24,5,13,33,18,10,4,9.0,-6.0,17,17,40.0,39.0,2.0,3.0,8,6.0,19.0,1.6,1.0,33.0,1.2,1.4,14.0,-8,-13.0,19.0,15.0,1.9411764705882353,1.0588235294117647,0.8823529411764706,0.5294117647058824,-0.35294117647058826,0.8823529411764706,0
