Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR,Season,HomeRank,AwayRank,HomePoints,AwayPoints,HomeW,AwayW,HomeGD,AwayGD,HomeGP,AwayGP,Sum_HomeY,Sum_AwayY,Sum_HomeR,Sum_AwayR,Stadium,Home_LastRank,Away_LastRank,Home_L5_GS,Home_L5_GC,Home_L5_Form_Pts,Away_L5_GS,Away_L5_GC,Away_L5_Form_Pts,Rank_Diff,LastRank_Diff,Form_Diff,GD_Diff,HomePPG,AwayPPG,PPG_Diff,HomeGDpg,AwayGDpg,GDpg_Diff,WeatherSeason
2026-08-07,20:15,Estoril,Famalicao,1.0,1.0,D,0.0,1.0,A,1.0,2.0,0.0,0.0,26-27,1,16,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,17,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2026-05-16,20:30,Sp Lisbon,Gil Vicente,3.0,0.0,H,2.0,0.0,H,0.0,1.0,0.0,0.0,25-26,3,6,79,50,24,13,62.0,12.0,33,33,72.0,81.0,3.0,4.0,9,1.0,13.0,2.6,1.4,32.0,1.0,1.4,14.0,-3,-12.0,18.0,50.0,2.393939393939394,1.5151515151515151,0.8787878787878789,1.878787878787879,0.36363636363636365,1.5151515151515151,1
2026-05-16,20:30,Famalicao,Alverca,1.0,0.0,H,0.0,0.0,D,1.0,2.0,0.0,0.0,25-26,5,11,53,39,14,10,12.0,-16.0,33,33,87.0,72.0,2.0,4.0,21,7.0,19.0,1.2,1.0,21.0,1.2,1.0,17.0,-6,-12.0,4.0,28.0,1.606060606060606,1.1818181818181819,0.4242424242424241,0.36363636363636365,-0.48484848484848486,0.8484848484848485,1
2026-05-16,20:30,Estoril,Benfica,1.0,3.0,A,0.0,3.0,A,3.0,2.0,0.0,0.0,25-26,10,3,39,77,10,22,-1.0,47.0,33,33,80.0,63.0,0.0,4.0,17,8.0,2.0,0.6,1.4,9.0,2.4,1.2,27.0,7,6.0,-18.0,-48.0,1.1818181818181819,2.3333333333333335,-1.1515151515151516,-0.030303030303030304,1.4242424242424243,-1.4545454545454546,1
2026-05-16,18:00,Sp Braga,Estrela,2.0,2.0,D,1.0,1.0,D,1.0,5.0,0.0,1.0,25-26,4,16,58,29,16,6,28.0,-18.0,33,33,75.0,85.0,3.0,4.0,14,4.0,15.0,1.4,1.4,16.0,0.6,1.4,5.0,-12,-11.0,11.0,46.0,1.7575757575757576,0.8787878787878788,0.8787878787878788,0.8484848484848485,-0.5454545454545454,1.393939393939394,1
2026-05-16,18:00,Nacional,Guimaraes,2.0,0.0,H,0.0,0.0,D,4.0,3.0,0.0,0.0,25-26,14,8,31,42,8,12,-10.0,-10.0,33,33,97.0,77.0,7.0,3.0,18,14.0,6.0,0.8,1.2,15.0,1.0,1.4,16.0,6,8.0,-1.0,0.0,0.9393939393939394,1.2727272727272727,-0.33333333333333326,-0.30303030303030304,-0.30303030303030304,0.0,1
2026-05-16,18:00,Casa Pia,Rio Ave,1.0,1.0,D,1.0,0.0,H,1.0,0.0,0.0,0.0,25-26,16,13,29,35,6,8,-26.0,-22.0,33,33,95.0,89.0,4.0,6.0,25,9.0,12.0,0.4,0.8,16.0,1.0,1.6,9.0,3,-3.0,7.0,-4.0,0.8787878787878788,1.0606060606060606,-0.18181818181818177,-0.7878787878787878,-0.6666666666666666,-0.12121212121212122,1
2026-05-16,18:00,Arouca,Tondela,3.0,1.0,H,1.0,0.0,H,3.0,1.0,0.0,0.0,25-26,11,17,39,28,11,6,-19.0,-26.0,33,33,94.0,89.0,10.0,3.0,23,11.0,19.0,1.4,1.2,25.0,1.0,1.2,30.0,-6,-8.0,-5.0,7.0,1.1818181818181819,0.8484848484848485,0.33333333333333337,-0.5757575757575758,-0.7878787878787878,0.21212121212121204,1
2026-05-16,15:30,Porto,Santa Clara,1.0,0.0,H,0.0,0.0,D,0.0,0.0,0.0,0.0,25-26,1,12,85,36,27,9,47.0,-8.0,33,33,79.0,95.0,3.0,4.0,7,3.0,5.0,1.8,1.0,30.0,1.2,1.0,30.0,-11,-2.0,0.0,55.0,2.5757575757575757,1.0909090909090908,1.4848484848484849,1.4242424242424243,-0.24242424242424243,1.6666666666666667,1
2026-05-16,15:30,Moreirense,AVS,0.0,0.0,D,0.0,0.0,D,2.0,3.0,0.0,0.0,25-26,8,18,42,20,12,3,-12.0,-40.0,33,33,85.0,74.0,4.0,5.0,12,10.0,17.0,1.2,1.8,19.0,1.8,1.2,33.0,-10,-7.0,-14.0,28.0,1.2727272727272727,0.6060606060606061,0.6666666666666666,-0.36363636363636365,-1.2121212121212122,0.8484848484848485,1
